Time,Open,High,Low,Close,AdjClose
787363200,7857.600098,8029.600098,7857.600098,7997.399902,7997.399902
787449600,8076.299805,8263.400391,8076.299805,8259.599609,8259.599609
787536000,8261.299805,8263.900391,8141.200195,8166.399902,8166.399902
787795200,8223.700195,8236.799805,8170.299805,8178.299805,8178.299805
787881600,8164.399902,8267.299805,8079.200195,8267.299805,8267.299805
787968000,8273.799805,8336.099609,8230.299805,8331.599609,8331.599609
788054400,8410.400391,8460.400391,8379.200195,8412.700195,8412.700195
788140800,8419.099609,8419.900391,8280.599609,8311.900391,8311.900391
788572800,8316.200195,8354.799805,8268.200195,8268.200195,8268.200195
788659200,8222.200195,8222.200195,8106.600098,8196,8196
788745600,8194.400391,8273.5,8187.899902,8191,8191
789091200,8190.399902,8190.399902,7833.700195,7844.100098,7844.100098
789177600,7857.299805,7900.399902,7773.100098,7887,7887
789264000,7908,7923.799805,7842.600098,7918.399902,7918.399902
789350400,7904.899902,7904.899902,7628.200195,7683.299805,7683.299805
789609600,7678.600098,7678.600098,7515.899902,7528.899902,7528.899902
789696000,7490.600098,7543.399902,7365.100098,7541.700195,7541.700195
789782400,7610.799805,7726.100098,7389.200195,7392.799805,7392.799805
789868800,7427.200195,7527.100098,7394.799805,7418.100098,7418.100098
789955200,7400.799805,7400.799805,7138.299805,7252.299805,7252.299805
790214400,7316.799805,7519.5,7316.799805,7504.200195,7504.200195
790300800,7556.700195,7642.299805,7546.200195,7606.5,7606.5
790387200,7577.899902,7644.700195,7530.799805,7630.200195,7630.200195
790473600,7623.100098,7623.100098,7419.200195,7422,7422
790560000,7329.600098,7329.600098,7210.899902,7278.100098,7278.100098
790819200,7243.100098,7243.100098,6890.100098,6967.899902,6967.899902
790905600,6970.600098,7035.799805,6908.600098,7022.899902,7022.899902
790992000,7034.299805,7252.299805,7034.299805,7240.700195,7240.700195
791078400,7275.299805,7371.799805,7256.799805,7310.5,7310.5
791164800,7300.700195,7349.5,7209.200195,7297.100098,7297.100098
791424000,7287.5,7343.600098,7267.399902,7342.700195,7342.700195
